lat lon depth(km) vs(km/s) vp(km/s) den(g/cm^2)
33.000000 -124.647200 0.000000 0.000000 1.500000 1.290000 
33.000000 -124.647200 1.000000 0.000000 8.475267 3.466310 
33.000000 -124.647200 2.000000 0.000000 8.553223 3.496233 
33.000000 -124.647200 3.000000 0.000000 8.642243 3.530781 
33.000000 -124.647200 4.000000 0.000000 8.688710 3.548971 
33.000000 -124.647200 5.000000 4.979300 8.669476 3.541429 
33.000000 -124.647200 6.000000 5.025100 8.588967 3.510057 
33.000000 -124.647200 7.000000 5.077400 8.461820 3.461181 
33.000000 -124.647200 8.000000 5.104700 8.304376 3.401834 
33.000000 -124.647200 9.000000 5.093400 8.132464 3.338587 
33.000000 -124.647200 10.000000 5.046100 7.958509 3.276319 
33.000000 -124.647200 11.000000 4.971400 7.791703 3.218322 
33.000000 -124.647200 12.000000 4.878900 7.638855 3.166713 
33.000000 -124.647200 13.000000 4.777900 7.503367 3.122238 
33.000000 -124.647200 14.000000 4.675700 7.387965 3.085327 
33.000000 -124.647200 15.000000 4.577700 7.293158 3.055686 
33.000000 -124.647200 16.000000 4.487900 7.218947 3.032921 
33.000000 -124.647200 17.000000 4.408300 7.164309 3.016409 
33.000000 -124.647200 18.000000 4.340500 7.127544 3.005418 
33.000000 -124.647200 19.000000 4.284800 7.107119 2.999354 
33.000000 -124.647200 20.000000 4.241200 7.100821 2.997490 
33.000000 -124.647200 21.000000 4.209100 7.106267 2.999102 
33.000000 -124.647200 22.000000 4.187500 7.122608 3.003950 
33.000000 -124.647200 23.000000 4.175500 7.146777 3.011156 
33.000000 -124.647200 24.000000 4.171800 7.177756 3.020453 
33.000000 -124.647200 25.000000 4.175000 7.213500 3.031266 
33.000000 -124.647200 26.000000 4.184600 7.252989 3.043316 
33.000000 -124.647200 27.000000 4.198800 7.294690 3.056160 
33.000000 -124.647200 28.000000 4.217000 7.337072 3.069338 
33.000000 -124.647200 29.000000 4.238000 7.379965 3.082802 
33.000000 -124.647200 30.000000 4.261200 7.422347 3.096229 
33.000000 -124.647200 31.000000 4.285700 7.463198 3.109288 
33.000000 -124.647200 32.000000 4.310600 7.501665 3.121687 
33.000000 -124.647200 33.000000 4.335800 7.538090 3.133520 
33.000000 -124.647200 34.000000 4.360700 7.571622 3.144492 
33.000000 -124.647200 35.000000 4.384700 7.601749 3.154412 
33.000000 -124.647200 36.000000 4.407300 7.628472 3.163262 
33.000000 -124.647200 37.000000 4.428700 7.651791 3.171023 
33.000000 -124.647200 38.000000 4.448400 7.671365 3.177564 
33.000000 -124.647200 39.000000 4.466100 7.687194 3.182873 
33.000000 -124.647200 40.000000 4.481800 7.699449 3.186993 
33.000000 -124.647200 41.000000 4.495500 7.707960 3.189861 
33.000000 -124.647200 42.000000 4.507000 7.712896 3.191526 
33.000000 -124.647200 43.000000 4.516300 7.714087 3.191928 
33.000000 -124.647200 44.000000 4.523500 7.712385 3.191354 
33.000000 -124.647200 45.000000 4.528500 7.706939 3.189517 
33.000000 -124.647200 46.000000 4.531400 7.698598 3.186707 
33.000000 -124.647200 47.000000 4.532100 7.687194 3.182873 
33.000000 -124.647200 48.000000 4.531100 7.673067 3.178134 
33.000000 -124.647200 49.000000 4.527900 7.656556 3.172613 
33.000000 -124.647200 50.000000 4.523000 7.637493 3.166260 
33.000000 -124.647200 51.000000 4.516300 7.616217 3.159198 
33.000000 -124.647200 52.000000 4.508000 7.592898 3.151492 
33.000000 -124.647200 53.000000 4.498300 7.567877 3.143263 
33.000000 -124.647200 54.000000 4.487100 7.541494 3.134631 
33.000000 -124.647200 55.000000 4.474600 7.513580 3.125548 
33.000000 -124.647200 56.000000 4.460900 7.484474 3.116133 
33.000000 -124.647200 57.000000 4.446200 7.454687 3.106558 
33.000000 -124.647200 58.000000 4.430700 7.423879 3.096717 
33.000000 -124.647200 59.000000 4.414300 7.392731 3.086833 
33.000000 -124.647200 60.000000 4.397200 7.361072 3.076856 
33.000000 -124.647200 61.000000 4.379700 7.329413 3.066947 
33.000000 -124.647200 62.000000 4.361600 7.297413 3.057003 
33.000000 -124.647200 63.000000 4.343300 7.265924 3.047287 
33.000000 -124.647200 64.000000 4.324700 7.234776 3.037744 
33.000000 -124.647200 65.000000 4.306100 7.203798 3.028322 
33.000000 -124.647200 66.000000 4.287300 7.173841 3.019275 
33.000000 -124.647200 67.000000 4.268800 7.144735 3.010546 
33.000000 -124.647200 68.000000 4.250500 7.116310 3.002079 
33.000000 -124.647200 69.000000 4.232300 7.089076 2.994022 
33.000000 -124.647200 70.000000 4.214700 7.062694 2.986267 
33.000000 -124.647200 71.000000 4.197600 7.038354 2.979158 
33.000000 -124.647200 72.000000 4.180900 7.015035 2.972387 
33.000000 -124.647200 73.000000 4.164900 6.993248 2.966096 
33.000000 -124.647200 74.000000 4.149400 6.973333 2.960376 
33.000000 -124.647200 75.000000 4.135100 6.955121 2.955171 
33.000000 -124.647200 76.000000 4.121400 6.938781 2.950521 
33.000000 -124.647200 77.000000 4.108600 6.924143 2.946372 
33.000000 -124.647200 78.000000 4.096900 6.911888 2.942911 
33.000000 -124.647200 79.000000 4.086200 6.901505 2.939987 
33.000000 -124.647200 80.000000 4.076600 6.893165 2.937644 
33.000000 -124.647200 81.000000 4.068000 6.887037 2.935926 
33.000000 -124.647200 82.000000 4.060800 6.883122 2.934830 
33.000000 -124.647200 83.000000 4.054700 6.881931 2.934497 
33.000000 -124.647200 84.000000 4.049800 6.882441 2.934639 
33.000000 -124.647200 85.000000 4.046200 6.885505 2.935497 
33.000000 -124.647200 86.000000 4.043900 6.891292 2.937119 
33.000000 -124.647200 87.000000 4.043200 6.898952 2.939269 
33.000000 -124.647200 88.000000 4.043500 6.909505 2.942239 
33.000000 -124.647200 89.000000 4.045300 6.922100 2.945795 
33.000000 -124.647200 90.000000 4.048700 6.937419 2.950135 
33.000000 -124.647200 91.000000 4.053200 6.955291 2.955219 
33.000000 -124.647200 92.000000 4.059400 6.975376 2.960962 
33.000000 -124.647200 93.000000 4.066800 6.998014 2.967469 
33.000000 -124.647200 94.000000 4.075800 7.023205 2.974755 
33.000000 -124.647200 95.000000 4.086300 7.050949 2.982832 
33.000000 -124.647200 96.000000 4.098100 7.080906 2.991615 
33.000000 -124.647200 97.000000 4.111400 7.113587 3.001271 
33.000000 -124.647200 98.000000 4.126200 7.148480 3.011665 
33.000000 -124.647200 99.000000 4.142500 7.185756 3.022865 
33.000000 -124.647200 100.000000 4.160100 7.225585 3.034942 
33.300000 -124.647200 0.000000 0.000000 1.500000 1.290000 
33.300000 -124.647200 1.000000 0.000000 6.150879 2.749839 
33.300000 -124.647200 2.000000 0.000000 6.288749 2.781619 
33.300000 -124.647200 3.000000 0.000000 6.470363 2.825635 
33.300000 -124.647200 4.000000 0.000000 6.657934 2.873683 
33.300000 -124.647200 5.000000 3.613700 6.835974 2.921716 
33.300000 -124.647200 6.000000 3.694700 7.002099 2.968648 
33.300000 -124.647200 7.000000 3.801400 7.155458 3.013755 
33.300000 -124.647200 8.000000 3.911600 7.294520 3.056107 
33.300000 -124.647200 9.000000 4.016200 7.418773 3.095092 
33.300000 -124.647200 10.000000 4.113800 7.526176 3.129640 
33.300000 -124.647200 11.000000 4.203900 7.616557 3.159311 
33.300000 -124.647200 12.000000 4.285600 7.690428 3.183959 
33.300000 -124.647200 13.000000 4.358600 7.748300 3.203515 
33.300000 -124.647200 14.000000 4.421700 7.792044 3.218439 
33.300000 -124.647200 15.000000 4.474800 7.823873 3.229373 
33.300000 -124.647200 16.000000 4.518200 7.845490 3.236835 
33.300000 -124.647200 17.000000 4.552200 7.859447 3.241669 
33.300000 -124.647200 18.000000 4.577900 7.866596 3.244149 
33.300000 -124.647200 19.000000 4.596600 7.869319 3.245095 
33.300000 -124.647200 20.000000 4.609300 7.869149 3.245036 
33.300000 -124.647200 21.000000 4.617500 7.866936 3.244267 
33.300000 -124.647200 22.000000 4.621700 7.863872 3.243204 
33.300000 -124.647200 23.000000 4.623300 7.859957 3.241846 
33.300000 -124.647200 24.000000 4.623200 7.856553 3.240666 
33.300000 -124.647200 25.000000 4.621900 7.853830 3.239722 
33.300000 -124.647200 26.000000 4.620100 7.851277 3.238838 
33.300000 -124.647200 27.000000 4.617800 7.849745 3.238308 
33.300000 -124.647200 28.000000 4.615800 7.848724 3.237954 
33.300000 -124.647200 29.000000 4.614200 7.848724 3.237954 
33.300000 -124.647200 30.000000 4.612700 7.848383 3.237836 
33.300000 -124.647200 31.000000 4.611800 7.848724 3.237954 
33.300000 -124.647200 32.000000 4.611200 7.849234 3.238131 
33.300000 -124.647200 33.000000 4.611200 7.849234 3.238131 
33.300000 -124.647200 34.000000 4.611000 7.849064 3.238072 
33.300000 -124.647200 35.000000 4.611200 7.847532 3.237542 
33.300000 -124.647200 36.000000 4.611500 7.845660 3.236894 
33.300000 -124.647200 37.000000 4.611500 7.842085 3.235658 
33.300000 -124.647200 38.000000 4.611400 7.837319 3.234011 
33.300000 -124.647200 39.000000 4.610500 7.830851 3.231779 
33.300000 -124.647200 40.000000 4.609400 7.822341 3.228845 
33.300000 -124.647200 41.000000 4.607300 7.812128 3.225331 
33.300000 -124.647200 42.000000 4.604500 7.799873 3.221122 
33.300000 -124.647200 43.000000 4.600700 7.785916 3.216341 
33.300000 -124.647200 44.000000 4.595700 7.769576 3.210759 
33.300000 -124.647200 45.000000 4.589700 7.750683 3.204325 
33.300000 -124.647200 46.000000 4.582500 7.730087 3.197338 
33.300000 -124.647200 47.000000 4.574300 7.707279 3.189631 
33.300000 -124.647200 48.000000 4.564700 7.682769 3.181387 
33.300000 -124.647200 49.000000 4.553600 7.655876 3.172386 
33.300000 -124.647200 50.000000 4.541500 7.627621 3.162980 
33.300000 -124.647200 51.000000 4.528100 7.597323 3.152951 
33.300000 -124.647200 52.000000 4.513700 7.565664 3.142537 
33.300000 -124.647200 53.000000 4.497900 7.532814 3.131801 
33.300000 -124.647200 54.000000 4.481300 7.499112 3.120861 
33.300000 -124.647200 55.000000 4.463500 7.464049 3.109561 
33.300000 -124.647200 56.000000 4.444900 7.428815 3.098289 
33.300000 -124.647200 57.000000 4.425600 7.392561 3.086779 
33.300000 -124.647200 58.000000 4.405800 7.356646 3.075466 
33.300000 -124.647200 59.000000 4.385200 7.320732 3.064242 
33.300000 -124.647200 60.000000 4.364500 7.284988 3.053161 
33.300000 -124.647200 61.000000 4.343200 7.250095 3.042429 
33.300000 -124.647200 62.000000 4.322100 7.215713 3.031938 
33.300000 -124.647200 63.000000 4.301000 7.182351 3.021838 
33.300000 -124.647200 64.000000 4.280000 7.150692 3.012327 
33.300000 -124.647200 65.000000 4.259500 7.120225 3.003242 
33.300000 -124.647200 66.000000 4.239300 7.091629 2.994775 
33.300000 -124.647200 67.000000 4.219700 7.064906 2.986916 
33.300000 -124.647200 68.000000 4.201100 7.040396 2.979753 
33.300000 -124.647200 69.000000 4.183200 7.018099 2.973274 
33.300000 -124.647200 70.000000 4.166400 6.997844 2.967420 
33.300000 -124.647200 71.000000 4.150700 6.980653 2.962475 
33.300000 -124.647200 72.000000 4.136300 6.965674 2.958184 
33.300000 -124.647200 73.000000 4.123200 6.953759 2.954783 
33.300000 -124.647200 74.000000 4.111300 6.944398 2.952117 
33.300000 -124.647200 75.000000 4.101200 6.937589 2.950183 
33.300000 -124.647200 76.000000 4.092400 6.934015 2.949169 
33.300000 -124.647200 77.000000 4.085400 6.933164 2.948927 
33.300000 -124.647200 78.000000 4.079900 6.935206 2.949507 
33.300000 -124.647200 79.000000 4.075900 6.939802 2.950811 
33.300000 -124.647200 80.000000 4.073800 6.947632 2.953037 
33.300000 -124.647200 81.000000 4.073300 6.957504 2.955851 
33.300000 -124.647200 82.000000 4.074500 6.970099 2.959450 
33.300000 -124.647200 83.000000 4.077200 6.985418 2.963844 
33.300000 -124.647200 84.000000 4.081800 7.002950 2.968893 
33.300000 -124.647200 85.000000 4.087600 7.022865 2.974656 
33.300000 -124.647200 86.000000 4.095000 7.045332 2.981192 
33.300000 -124.647200 87.000000 4.104000 7.069162 2.988164 
33.300000 -124.647200 88.000000 4.114300 7.095204 2.995830 
33.300000 -124.647200 89.000000 4.126000 7.122948 3.004051 
33.300000 -124.647200 90.000000 4.139200 7.152565 3.012888 
33.300000 -124.647200 91.000000 4.153200 7.183713 3.022249 
33.300000 -124.647200 92.000000 4.168500 7.216223 3.032093 
33.300000 -124.647200 93.000000 4.184800 7.249925 3.042377 
33.300000 -124.647200 94.000000 4.202200 7.284818 3.053108 
33.300000 -124.647200 95.000000 4.220500 7.320732 3.064242 
33.300000 -124.647200 96.000000 4.239600 7.358008 3.075894 
33.300000 -124.647200 97.000000 4.259400 7.395454 3.087695 
33.300000 -124.647200 98.000000 4.279900 7.434262 3.100026 
33.300000 -124.647200 99.000000 4.301000 7.473410 3.112570 
33.300000 -124.647200 100.000000 4.322900 7.513069 3.125382 
33.600000 -124.647200 0.000000 0.000000 1.500000 1.290000 
33.600000 -124.647200 1.000000 0.000000 6.372322 2.801568 
33.600000 -124.647200 2.000000 0.000000 6.389683 2.805778 
33.600000 -124.647200 3.000000 0.000000 6.417428 2.812552 
33.600000 -124.647200 4.000000 0.000000 6.482788 2.828737 
33.600000 -124.647200 5.000000 3.743800 6.594616 2.857169 
33.600000 -124.647200 6.000000 3.754000 6.745933 2.897130 
33.600000 -124.647200 7.000000 3.770300 6.920909 2.945458 
33.600000 -124.647200 8.000000 3.808700 7.103374 2.998245 
33.600000 -124.647200 9.000000 3.874400 7.278860 3.051270 
33.600000 -124.647200 10.000000 3.963300 7.436815 3.100841 
33.600000 -124.647200 11.000000 4.066100 7.571962 3.144603 
33.600000 -124.647200 12.000000 4.173300 7.681577 3.180987 
33.600000 -124.647200 13.000000 4.276400 7.766001 3.209540 
33.600000 -124.647200 14.000000 4.369200 7.827788 3.230722 
33.600000 -124.647200 15.000000 4.448600 7.869489 3.245154 
33.600000 -124.647200 16.000000 4.513000 7.895021 3.254043 
33.600000 -124.647200 17.000000 4.562600 7.907616 3.258442 
33.600000 -124.647200 18.000000 4.598900 7.910510 3.259455 
33.600000 -124.647200 19.000000 4.623400 7.906595 3.258085 
33.600000 -124.647200 20.000000 4.638400 7.898084 3.255112 
33.600000 -124.647200 21.000000 4.645800 7.887361 3.251372 
33.600000 -124.647200 22.000000 4.647500 7.875617 3.247284 
33.600000 -124.647200 23.000000 4.645200 7.863532 3.243086 
33.600000 -124.647200 24.000000 4.640200 7.852468 3.239250 
33.600000 -124.647200 25.000000 4.633900 7.842596 3.235835 
33.600000 -124.647200 26.000000 4.627000 7.834426 3.233012 
33.600000 -124.647200 27.000000 4.619900 7.827617 3.230664 
